CIDADE,CODIGODACIDADE,DATA,REGIAO,PAIS,LATITUDE,LONGITUDE,TEMPERATURAMAXIMA,TEMPERATURAMINIMA,TEMPERATURAMEDIA,VAICHOVER,CHANCECHUVA,CONDICAOTEMPO,NASCER_SOL,POR_SOL,VELOCIDADE_VENTO
Afonso Claudio,3200102,2023-02-01,Espirito Santo,Brazil,-20.08,-41.13,31.8,19.4,24.3,NAO,0,Partly cloudy,05:29 AM,06:26 PM,7.9
Afonso Claudio,3200102,2023-02-02,Espirito Santo,Brazil,-20.08,-41.13,31.4,19,24.3,NAO,0,Partly cloudy,05:30 AM,06:26 PM,5.8
Afonso Claudio,3200102,2023-02-03,Espirito Santo,Brazil,-20.08,-41.13,32,19.7,25,NAO,0,Sunny,05:30 AM,06:25 PM,7.9
Afonso Claudio,3200102,2023-02-04,Espirito Santo,Brazil,-20.08,-41.13,31.8,19.6,25.1,NAO,0,Partly cloudy,05:31 AM,06:25 PM,6.8
Afonso Claudio,3200102,2023-02-05,Espirito Santo,Brazil,-20.08,-41.13,32.4,20,23.7,NAO,0,Fog,05:32 AM,06:25 PM,6.1
Aguia Branca,3200136,2023-02-01,Espirito Santo,Brazil,-18.98,-40.73,29.3,20.4,23.7,NAO,0,Partly cloudy,05:31 AM,06:27 PM,6.8
Aguia Branca,3200136,2023-02-02,Espirito Santo,Brazil,-18.98,-40.73,28.6,19.9,23.9,NAO,0,Partly cloudy,05:31 AM,06:26 PM,5
Aguia Branca,3200136,2023-02-03,Espirito Santo,Brazil,-18.98,-40.73,30.5,20.3,24.1,NAO,0,Sunny,05:32 AM,06:26 PM,8.6
Aguia Branca,3200136,2023-02-04,Espirito Santo,Brazil,-18.98,-40.73,30.3,19,24.7,NAO,0,Sunny,05:32 AM,06:26 PM,6.5
Aguia Branca,3200136,2023-02-05,Espirito Santo,Brazil,-18.98,-40.73,30.9,21.5,24.3,SIM,83,Patchy rain possible,05:33 AM,06:25 PM,6.8
Agua Doce Do Mantena,null,2023-02-01,Espirito Santo,Brazil,-18.55,-40.98,31.6,20.1,23.9,SIM,84,Patchy rain possible,05:30 AM,06:24 PM,10.4
Agua Doce Do Mantena,null,2023-02-02,Espirito Santo,Brazil,-18.55,-40.98,30.5,19.8,24.2,NAO,0,Partly cloudy,05:30 AM,06:24 PM,7.9
Agua Doce Do Mantena,null,2023-02-03,Espirito Santo,Brazil,-18.55,-40.98,31,19.4,24.3,NAO,0,Sunny,05:31 AM,06:24 PM,9.4
Agua Doce Do Mantena,null,2023-02-04,Espirito Santo,Brazil,-18.55,-40.98,32.2,19.7,24.1,NAO,0,Partly cloudy,05:31 AM,06:23 PM,7.2
Agua Doce Do Mantena,null,2023-02-05,Espirito Santo,Brazil,-18.55,-40.98,33.8,20.9,24.2,NAO,0,Fog,05:32 AM,06:23 PM,8.3
Alfredo Chaves,3200300,2023-02-01,Espirito Santo,Brazil,-20.63,-40.75,30.7,22.3,25.5,SIM,88,Patchy rain possible,05:26 AM,06:27 PM,27.4
Alfredo Chaves,3200300,2023-02-02,Espirito Santo,Brazil,-20.63,-40.75,30.9,22.7,25.9,NAO,0,Sunny,05:27 AM,06:27 PM,21.2
Alfredo Chaves,3200300,2023-02-03,Espirito Santo,Brazil,-20.63,-40.75,31.2,22.7,26.1,NAO,0,Sunny,05:27 AM,06:27 PM,24.8
Alfredo Chaves,3200300,2023-02-04,Espirito Santo,Brazil,-20.63,-40.75,32,23,26.5,NAO,0,Sunny,05:28 AM,06:26 PM,24.5
Alfredo Chaves,3200300,2023-02-05,Espirito Santo,Brazil,-20.63,-40.75,29.7,24,25.5,SIM,76,Patchy rain possible,05:29 AM,06:26 PM,14
Alto Rio Novo,3200359,2023-02-01,Espirito Santo,Brazil,-19.07,-41.02,29.3,20.4,23.7,NAO,0,Partly cloudy,05:31 AM,06:27 PM,6.8
