CIDADE,QTDDIASVAICHOVER,QTDDIASNAOVAICHOVER,TOTALDIASMAPEADOS
Ibitirama,4,1,5
Colatina,2,3,5
Ecoporanga,1,4,5
Ibatiba,4,1,5
Dores Do Rio Preto,4,1,5
Itaguacu,2,3,5
Itarana,2,3,5
Brejetuba,4,1,5
Alto Rio Novo,1,4,5
Governador Lindenberg,1,4,5
Agua Doce Do Mantena,1,4,5
Guarapari,1,4,5
Aguia Branca,1,4,5
Alfredo Chaves,2,3,5
Conceicao Do Castelo,4,1,5
Conceicao Da Barra,1,4,5
Baixo Guandu,2,3,5
Itapemirim,2,3,5
Ibiracu,2,3,5
Cariacica,1,4,5
Cachoeiro De Itapemirim,3,2,5
Guacui,4,1,5
Iuna,4,1,5
Barra De Sao Francisco,1,4,5
Apiaca,3,2,5
Irupi,4,1,5
Mucurici,1,4,5
Pancas,1,4,5
Muqui,4,1,5
Viana,1,4,5
Marataizes,2,3,5
Vitoria,1,4,5
Mimoso Do Sul,3,2,5
Piuma,2,3,5
Linhares,1,4,5
Laranja Da Terra,2,3,5
Sao Jose Do Calcado,5,null,5
Nova Venecia,1,4,5
Montanha,1,4,5
Sao Mateus,1,4,5
Jeronimo Monteiro,3,2,5
Vila Velha,2,3,5
Marilandia,2,3,5
Rio Novo Do Sul,5,null,5
Muniz Freire,4,1,5
Mantenopolis,2,3,5
Vargem Alta,6,4,10
Iconha,null,5,5
Afonso Claudio,null,5,5
Fundao,null,5,5
Domingos Martins,null,5,5
Aracruz,null,5,5
Serra,null,5,5
Santa Leopoldina,null,5,5
Joao Neiva,null,5,5
Marechal Floriano,null,5,5
Rio Bananal,null,5,5
